time	-I(Ls1)	-I(Ls2)
0.000000000000000e+000	-0.000000e+000	-0.000000e+000
1.170285695298015e-014	9.073044e-008	-9.073044e-008
2.340571390596030e-014	1.827705e-007	-1.827705e-007
3.510857085894045e-014	2.761200e-007	-2.761200e-007
4.681142781192060e-014	3.707792e-007	-3.707792e-007
5.851428476490076e-014	4.667479e-007	-4.667479e-007
7.021714171788090e-014	5.640262e-007	-5.640262e-007
8.191999867086103e-014	6.626141e-007	-6.626141e-007
1.638399973417221e-013	1.389396e-006	-1.389396e-006
3.276799946834441e-013	3.035377e-006	-3.035377e-006
6.553599893668882e-013	7.095802e-006	-7.095802e-006
1.310719978733776e-012	1.789271e-005	-1.789271e-005
2.310719978733776e-012	4.001254e-005	-4.001254e-005
3.310719978733776e-012	6.899757e-005	-6.899757e-005
4.310719978733776e-012	1.054179e-004	-1.054179e-004
5.310719978733776e-012	1.491718e-004	-1.491718e-004
6.310719978733775e-012	2.001420e-004	-2.001420e-004
7.310719978733775e-012	2.581960e-004	-2.581960e-004
8.310719978733775e-012	3.231861e-004	-3.231861e-004
9.310719978733775e-012	3.949503e-004	-3.949503e-004
1.031071997873377e-011	4.733120e-004	-4.733120e-004
1.131071997873377e-011	5.580809e-004	-5.580809e-004
1.231071997873377e-011	6.490531e-004	-6.490531e-004
1.331071997873377e-011	7.460118e-004	-7.460117e-004
1.431071997873377e-011	8.487275e-004	-8.487274e-004
1.531071997873377e-011	9.569586e-004	-9.569583e-004
1.631071997873377e-011	1.070452e-003	-1.070452e-003
1.731071997873377e-011	1.188943e-003	-1.188943e-003
1.831071997873377e-011	1.312158e-003	-1.312157e-003
1.931071997873377e-011	1.439812e-003	-1.439810e-003
2.031071997873377e-011	1.571610e-003	-1.571608e-003
2.131071997873377e-011	1.707250e-003	-1.707247e-003
2.231071997873377e-011	1.846421e-003	-1.846417e-003
2.331071997873377e-011	1.988805e-003	-1.988799e-003
2.431071997873377e-011	2.134077e-003	-2.134067e-003
2.531071997873377e-011	2.281905e-003	-2.281892e-003
2.631071997873377e-011	2.431953e-003	-2.431934e-003
2.731071997873377e-011	2.583880e-003	-2.583853e-003
2.831071997873377e-011	2.737340e-003	-2.737302e-003
2.931071997873377e-011	2.891985e-003	-2.891931e-003
3.031071997873377e-011	3.047466e-003	-3.047389e-003
3.131071997873378e-011	3.203431e-003	-3.203320e-003
3.231071997873378e-011	3.359532e-003	-3.359369e-003
3.331071997873378e-011	3.515421e-003	-3.515179e-003
3.431071997873379e-011	3.670760e-003	-3.670395e-003
3.531071997873379e-011	3.825224e-003	-3.824661e-003
3.631071997873379e-011	3.978507e-003	-3.977624e-003
3.731071997873379e-011	4.130348e-003	-4.128936e-003
3.831071997873380e-011	4.280569e-003	-4.278251e-003
3.931071997873380e-011	4.429137e-003	-4.425234e-003
4.031071997873380e-011	4.576198e-003	-4.569559e-003
4.131071997873381e-011	4.722162e-003	-4.710916e-003
4.231071997873381e-011	4.867756e-003	-4.849016e-003
4.331071997873381e-011	5.013970e-003	-4.983589e-003
4.431071997873382e-011	5.161886e-003	-5.114392e-003
4.531071997873382e-011	5.312427e-003	-5.241201e-003
4.631071997873382e-011	5.466247e-003	-5.363806e-003
4.731071997873382e-011	5.623768e-003	-5.482013e-003
4.831071997873383e-011	5.785170e-003	-5.595637e-003
4.931071997873383e-011	5.950422e-003	-5.704502e-003
5.031071997873383e-011	6.119404e-003	-5.808441e-003
5.131071997873384e-011	6.291955e-003	-5.907292e-003
5.231071997873384e-011	6.467895e-003	-6.000908e-003
5.331071997873384e-011	6.647035e-003	-6.089143e-003
5.431071997873385e-011	6.829183e-003	-6.171866e-003
5.531071997873385e-011	7.014143e-003	-6.248951e-003
5.631071997873385e-011	7.201721e-003	-6.320282e-003
5.731071997873385e-011	7.391722e-003	-6.385752e-003
5.831071997873385e-011	7.583953e-003	-6.445264e-003
5.931071997873385e-011	7.778221e-003	-6.498730e-003
6.031071997873384e-011	7.974334e-003	-6.546070e-003
6.231071997873384e-011	8.371335e-003	-6.622103e-003
6.431071997873383e-011	8.773442e-003	-6.672917e-003
6.631071997873382e-011	9.179169e-003	-6.698218e-003
6.831071997873382e-011	9.587052e-003	-6.697858e-003
7.131071997873381e-011	1.019979e-002	-6.649243e-003
7.431071997873380e-011	1.080944e-002	-6.543527e-003
7.731071997873379e-011	1.141149e-002	-6.382011e-003
8.031071997873378e-011	1.200161e-002	-6.166649e-003
8.331071997873377e-011	1.257570e-002	-5.900008e-003
8.631071997873375e-011	1.312990e-002	-5.585205e-003
8.931071997873374e-011	1.366059e-002	-5.225849e-003
9.173929140730516e-011	1.407403e-002	-4.898643e-003
9.416786283587658e-011	1.446476e-002	-4.553544e-003
9.659643426444801e-011	1.483278e-002	-4.190552e-003
9.902500569301943e-011	1.517809e-002	-3.809667e-003
1.014535771215908e-010	1.550069e-002	-3.410890e-003
1.038821485501623e-010	1.580059e-002	-2.994220e-003
1.063107199787337e-010	1.607778e-002	-2.559658e-003
1.078821485501623e-010	1.624145e-002	-2.276220e-003
1.094535771215908e-010	1.639331e-002	-1.991675e-003
1.110250056930194e-010	1.653333e-002	-1.706022e-003
1.125964342644480e-010	1.666153e-002	-1.419262e-003
1.141678628358765e-010	1.677791e-002	-1.131395e-003
1.157392914073051e-010	1.688245e-002	-8.424202e-004
1.173107199787337e-010	1.697517e-002	-5.523383e-004
1.193107199787337e-010	1.707484e-002	-1.872306e-004
1.203107199787337e-010	1.711713e-002	-5.841354e-006
1.213107199787337e-010	1.715436e-002	1.745628e-004
1.233107199787336e-010	1.721358e-002	5.318134e-004
1.263107199787336e-010	1.726412e-002	1.056645e-003
1.293107199787336e-010	1.726855e-002	1.565028e-003
1.323107199787336e-010	1.722684e-002	2.053721e-003
1.338821485501622e-010	1.718647e-002	2.301568e-003
1.354535771215907e-010	1.713366e-002	2.542148e-003
1.370250056930193e-010	1.706842e-002	2.775461e-003
