time	V(VCj1a,VCj2b)	V(VCj2a,VCj2b)
0.000000000000000e+000	0.000000e+000	0.000000e+000
1.170285695298015e-014	-3.998484e-010	3.998484e-010
2.340571390596030e-014	1.814119e-010	-1.814118e-010
3.510857085894045e-014	1.743781e-009	-1.743781e-009
4.681142781192060e-014	4.287258e-009	-4.287258e-009
5.851428476490076e-014	7.811845e-009	-7.811844e-009
7.021714171788090e-014	1.231754e-008	-1.231754e-008
8.191999867086103e-014	1.780434e-008	-1.780434e-008
1.638399973417221e-013	1.308903e-007	-1.308903e-007
3.276799946834441e-013	9.142055e-007	-9.142055e-007
6.553599893668882e-013	6.056428e-006	-6.056428e-006
1.310719978733776e-012	3.472159e-005	-3.472159e-005
2.310719978733776e-012	1.310811e-004	-1.310811e-004
3.310719978733776e-012	3.120544e-004	-3.120544e-004
4.310719978733776e-012	6.108621e-004	-6.108622e-004
5.310719978733776e-012	1.056006e-003	-1.056006e-003
6.310719978733775e-012	1.675586e-003	-1.675587e-003
7.310719978733775e-012	2.497237e-003	-2.497239e-003
8.310719978733775e-012	3.548073e-003	-3.548077e-003
9.310719978733775e-012	4.854624e-003	-4.854633e-003
1.031071997873377e-011	6.442786e-003	-6.442804e-003
1.131071997873377e-011	8.337765e-003	-8.337796e-003
1.231071997873377e-011	1.056402e-002	-1.056407e-002
1.331071997873377e-011	1.314521e-002	-1.314530e-002
1.431071997873377e-011	1.610417e-002	-1.610431e-002
1.531071997873377e-011	1.946280e-002	-1.946303e-002
1.631071997873377e-011	2.324210e-002	-2.324244e-002
1.731071997873377e-011	2.746205e-002	-2.746257e-002
1.831071997873377e-011	3.214163e-002	-3.214239e-002
1.931071997873377e-011	3.729873e-002	-3.729983e-002
2.031071997873377e-011	4.295012e-002	-4.295169e-002
2.131071997873377e-011	4.911144e-002	-4.911367e-002
2.231071997873377e-011	5.579713e-002	-5.580027e-002
2.331071997873377e-011	6.302040e-002	-6.302479e-002
2.431071997873377e-011	7.079317e-002	-7.079931e-002
2.531071997873377e-011	7.912606e-002	-7.913464e-002
2.631071997873377e-011	8.802829e-002	-8.804034e-002
2.731071997873377e-011	9.750762e-002	-9.752462e-002
2.831071997873377e-011	1.075702e-001	-1.075944e-001
2.931071997873377e-011	1.182205e-001	-1.182553e-001
3.031071997873377e-011	1.294609e-001	-1.295115e-001
3.131071997873378e-011	1.412911e-001	-1.413660e-001
3.231071997873378e-011	1.537077e-001	-1.538201e-001
3.331071997873378e-011	1.667023e-001	-1.668742e-001
3.431071997873379e-011	1.802591e-001	-1.805269e-001
3.531071997873379e-011	1.943501e-001	-1.947757e-001
3.631071997873379e-011	2.089273e-001	-2.096165e-001
3.731071997873379e-011	2.238932e-001	-2.250442e-001
3.831071997873380e-011	2.390695e-001	-2.410520e-001
3.931071997873380e-011	2.541902e-001	-2.576321e-001
4.031071997873380e-011	2.688644e-001	-2.747750e-001
4.131071997873381e-011	2.825400e-001	-2.924704e-001
4.231071997873381e-011	2.945805e-001	-3.107067e-001
4.331071997873381e-011	3.044579e-001	-3.294709e-001
4.431071997873382e-011	3.119915e-001	-3.487495e-001
4.531071997873382e-011	3.173957e-001	-3.685277e-001
4.631071997873382e-011	3.210751e-001	-3.887899e-001
4.731071997873382e-011	3.235059e-001	-4.095198e-001
4.831071997873383e-011	3.251717e-001	-4.307004e-001
4.931071997873383e-011	3.264223e-001	-4.523139e-001
5.031071997873383e-011	3.274538e-001	-4.743418e-001
5.131071997873384e-011	3.283722e-001	-4.967650e-001
5.231071997873384e-011	3.292312e-001	-5.195640e-001
5.331071997873384e-011	3.300575e-001	-5.427183e-001
5.431071997873385e-011	3.308636e-001	-5.662073e-001
5.531071997873385e-011	3.316552e-001	-5.900095e-001
5.631071997873385e-011	3.324345e-001	-6.141032e-001
5.731071997873385e-011	3.332023e-001	-6.384662e-001
5.831071997873385e-011	3.339587e-001	-6.630759e-001
5.931071997873385e-011	3.347033e-001	-6.879093e-001
6.031071997873384e-011	3.354360e-001	-7.129430e-001
6.231071997873384e-011	3.368644e-001	-7.635168e-001
6.431071997873383e-011	3.382420e-001	-8.146055e-001
6.631071997873382e-011	3.395679e-001	-8.660141e-001
6.831071997873382e-011	3.408414e-001	-9.175460e-001
7.131071997873381e-011	3.426534e-001	-9.946433e-001
7.431071997873380e-011	3.443488e-001	-1.070910e+000
7.731071997873379e-011	3.459293e-001	-1.145694e+000
8.031071997873378e-011	3.473980e-001	-1.218358e+000
8.331071997873377e-011	3.487580e-001	-1.288295e+000
