time	V(N001,VCj2b)	V(N002,VCj2b)
0.000000000000000e+000	0.000000e+000	0.000000e+000
1.170285695298015e-014	8.706435e-009	-8.706435e-009
2.340571390596030e-014	3.265738e-008	-3.265738e-008
3.510857085894045e-014	7.185284e-008	-7.185284e-008
4.681142781192060e-014	1.262928e-007	-1.262928e-007
5.851428476490076e-014	1.959773e-007	-1.959773e-007
7.021714171788090e-014	2.809063e-007	-2.809063e-007
8.191999867086103e-014	3.810798e-007	-3.810798e-007
1.638399973417221e-013	1.460456e-006	-1.460456e-006
3.276799946834441e-013	5.525907e-006	-5.525907e-006
6.553599893668882e-013	2.120345e-005	-2.120345e-005
1.310719978733776e-012	8.183123e-005	-8.183123e-005
2.310719978733776e-012	2.473866e-004	-2.473866e-004
3.310719978733776e-012	5.215048e-004	-5.215048e-004
4.310719978733776e-012	9.392739e-004	-9.392739e-004
5.310719978733776e-012	1.528868e-003	-1.528868e-003
6.310719978733775e-012	2.317993e-003	-2.317994e-003
7.310719978733775e-012	3.333841e-003	-3.333843e-003
8.310719978733775e-012	4.603029e-003	-4.603032e-003
9.310719978733775e-012	6.151540e-003	-6.151547e-003
1.031071997873377e-011	8.004674e-003	-8.004688e-003
1.131071997873377e-011	1.018699e-002	-1.018701e-002
1.231071997873377e-011	1.272225e-002	-1.272230e-002
1.331071997873377e-011	1.563339e-002	-1.563347e-002
1.431071997873377e-011	1.894244e-002	-1.894257e-002
1.531071997873377e-011	2.267051e-002	-2.267070e-002
1.631071997873377e-011	2.683769e-002	-2.683799e-002
1.731071997873377e-011	3.146310e-002	-3.146355e-002
1.831071997873377e-011	3.656476e-002	-3.656541e-002
1.931071997873377e-011	4.215959e-002	-4.216054e-002
2.031071997873377e-011	4.826335e-002	-4.826472e-002
2.131071997873377e-011	5.489066e-002	-5.489261e-002
2.231071997873377e-011	6.205489e-002	-6.205763e-002
2.331071997873377e-011	6.976816e-002	-6.977201e-002
2.431071997873377e-011	7.804130e-002	-7.804668e-002
2.531071997873377e-011	8.688383e-002	-8.689134e-002
2.631071997873377e-011	9.630382e-002	-9.631435e-002
2.731071997873377e-011	1.063079e-001	-1.063228e-001
2.831071997873377e-011	1.169013e-001	-1.169224e-001
2.931071997873377e-011	1.280873e-001	-1.281174e-001
3.031071997873377e-011	1.398673e-001	-1.399111e-001
3.131071997873378e-011	1.522406e-001	-1.523049e-001
